DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Orders
STRIP_WIDTH	75
MARGIN	0
SHOW_INTERNAL	1
DATA
1	#5D3505	Euryarchaeota
2|4	#6F3F07	Crenarchaeota
5|20	#814A09	Acidobacteria
21|22	#92570E	Calditrichaeota
23	#A36619	Dictyoglomi
24	#B37625	Bacteroidetes
25	#B37625	Bacteroidetes
26	#B37625	Bacteroidetes
27	#B37625	Bacteroidetes
28	#B37625	Bacteroidetes
29	#B37625	Bacteroidetes
30	#B37625	Bacteroidetes
31	#B37625	Bacteroidetes
32	#B37625	Bacteroidetes
33	#B37625	Bacteroidetes
34	#B37625	Bacteroidetes
35	#B37625	Bacteroidetes
36	#B37625	Bacteroidetes
37	#B37625	Bacteroidetes
38	#B37625	Bacteroidetes
39	#B37625	Bacteroidetes
40	#B37625	Bacteroidetes
41	#B37625	Bacteroidetes
42	#B37625	Bacteroidetes
43	#B37625	Bacteroidetes
44	#B37625	Bacteroidetes
45	#B37625	Bacteroidetes
46	#B37625	Bacteroidetes
47	#B37625	Bacteroidetes
48	#B37625	Bacteroidetes
49	#B37625	Bacteroidetes
50	#B37625	Bacteroidetes
51	#B37625	Bacteroidetes
52	#B37625	Bacteroidetes
53	#B37625	Bacteroidetes
54	#B37625	Bacteroidetes
55	#B37625	Bacteroidetes
56	#B37625	Bacteroidetes
57	#B37625	Bacteroidetes
58	#B37625	Bacteroidetes
59	#B37625	Bacteroidetes
60	#B37625	Bacteroidetes
61	#B37625	Bacteroidetes
62	#B37625	Bacteroidetes
63	#B37625	Bacteroidetes
64	#B37625	Bacteroidetes
65	#B37625	Bacteroidetes
66	#B37625	Bacteroidetes
67	#B37625	Bacteroidetes
68	#B37625	Bacteroidetes
69	#B37625	Bacteroidetes
70	#B37625	Bacteroidetes
71	#B37625	Bacteroidetes
72	#B37625	Bacteroidetes
73	#B37625	Bacteroidetes
74	#B37625	Bacteroidetes
75	#B37625	Bacteroidetes
76	#B37625	Bacteroidetes
77	#B37625	Bacteroidetes
78	#B37625	Bacteroidetes
79	#B37625	Bacteroidetes
80	#B37625	Bacteroidetes
81	#B37625	Bacteroidetes
82	#B37625	Bacteroidetes
83	#B37625	Bacteroidetes
84	#B37625	Bacteroidetes
85	#B37625	Bacteroidetes
86	#B37625	Bacteroidetes
87	#B37625	Bacteroidetes
88	#B37625	Bacteroidetes
89	#B37625	Bacteroidetes
90	#B37625	Bacteroidetes
91	#B37625	Bacteroidetes
92	#B37625	Bacteroidetes
93	#B37625	Bacteroidetes
94	#B37625	Bacteroidetes
95	#C28734	Gemmatimonadetes
96	#CC9C4E	Fusobacteria
97	#CC9C4E	Fusobacteria
98	#CC9C4E	Fusobacteria
99	#D6B168	Lentisphaerae
100	#D6B168	Lentisphaerae
101	#D6B168	Lentisphaerae
102	#D6B168	Lentisphaerae
103	#D6B168	Lentisphaerae
104	#D6B168	Lentisphaerae
105	#E0C481	Planctomycetes
106	#E0C481	Planctomycetes
107	#E0C481	Planctomycetes
108	#E0C481	Planctomycetes
109	#E0C481	Planctomycetes
110	#E7D098	Verrucomicrobia
111	#E7D098	Verrucomicrobia
112	#E7D098	Verrucomicrobia
113	#E7D098	Verrucomicrobia
114	#E7D098	Verrucomicrobia
115	#E7D098	Verrucomicrobia
116	#E7D098	Verrucomicrobia
117	#E7D098	Verrucomicrobia
118	#E7D098	Verrucomicrobia
119	#E7D098	Verrucomicrobia
120	#E7D098	Verrucomicrobia
121	#E7D098	Verrucomicrobia
122	#E7D098	Verrucomicrobia
123	#E7D098	Verrucomicrobia
124	#EFDCAE	Proteobacteria
125	#EFDCAE	Proteobacteria
126	#EFDCAE	Proteobacteria
127	#EFDCAE	Proteobacteria
128	#EFDCAE	Proteobacteria
129	#EFDCAE	Proteobacteria
130	#EFDCAE	Proteobacteria
131	#EFDCAE	Proteobacteria
132	#EFDCAE	Proteobacteria
133	#EFDCAE	Proteobacteria
134	#EFDCAE	Proteobacteria
135	#EFDCAE	Proteobacteria
136	#EFDCAE	Proteobacteria
137	#EFDCAE	Proteobacteria
138	#EFDCAE	Proteobacteria
139	#EFDCAE	Proteobacteria
140	#EFDCAE	Proteobacteria
141	#EFDCAE	Proteobacteria
142	#EFDCAE	Proteobacteria
143	#EFDCAE	Proteobacteria
144	#EFDCAE	Proteobacteria
145	#EFDCAE	Proteobacteria
146	#EFDCAE	Proteobacteria
147	#EFDCAE	Proteobacteria
148	#EFDCAE	Proteobacteria
149	#EFDCAE	Proteobacteria
150	#EFDCAE	Proteobacteria
151	#EFDCAE	Proteobacteria
152	#EFDCAE	Proteobacteria
153	#EFDCAE	Proteobacteria
154	#EFDCAE	Proteobacteria
155	#EFDCAE	Proteobacteria
156	#EFDCAE	Proteobacteria
157	#EFDCAE	Proteobacteria
158	#EFDCAE	Proteobacteria
159	#EFDCAE	Proteobacteria
160	#EFDCAE	Proteobacteria
161	#EFDCAE	Proteobacteria
162	#EFDCAE	Proteobacteria
163	#EFDCAE	Proteobacteria
164	#EFDCAE	Proteobacteria
165	#EFDCAE	Proteobacteria
166	#EFDCAE	Proteobacteria
167	#EFDCAE	Proteobacteria
168	#EFDCAE	Proteobacteria
169	#EFDCAE	Proteobacteria
170	#EFDCAE	Proteobacteria
171	#EFDCAE	Proteobacteria
172	#EFDCAE	Proteobacteria
173	#EFDCAE	Proteobacteria
174	#EFDCAE	Proteobacteria
175	#EFDCAE	Proteobacteria
176	#EFDCAE	Proteobacteria
177	#EFDCAE	Proteobacteria
178	#EFDCAE	Proteobacteria
179	#EFDCAE	Proteobacteria
180	#EFDCAE	Proteobacteria
181	#EFDCAE	Proteobacteria
182	#EFDCAE	Proteobacteria
183	#EFDCAE	Proteobacteria
184	#EFDCAE	Proteobacteria
185	#EFDCAE	Proteobacteria
186	#EFDCAE	Proteobacteria
187	#EFDCAE	Proteobacteria
188	#EFDCAE	Proteobacteria
189	#EFDCAE	Proteobacteria
190	#EFDCAE	Proteobacteria
191	#EFDCAE	Proteobacteria
192	#EFDCAE	Proteobacteria
193	#EFDCAE	Proteobacteria
194	#EFDCAE	Proteobacteria
195	#EFDCAE	Proteobacteria
196	#EFDCAE	Proteobacteria
197	#EFDCAE	Proteobacteria
198	#EFDCAE	Proteobacteria
199	#EFDCAE	Proteobacteria
200	#EFDCAE	Proteobacteria
201	#EFDCAE	Proteobacteria
202	#EFDCAE	Proteobacteria
203	#EFDCAE	Proteobacteria
204	#EFDCAE	Proteobacteria
205	#EFDCAE	Proteobacteria
206	#EFDCAE	Proteobacteria
207	#003C30	Spirochaetes
208	#003C30	Spirochaetes
209	#003C30	Spirochaetes
210	#003C30	Spirochaetes
211	#003C30	Spirochaetes
212	#003C30	Spirochaetes
213	#003C30	Spirochaetes
214	#003C30	Spirochaetes
215	#003C30	Spirochaetes
216	#003C30	Spirochaetes
217	#003C30	Spirochaetes
218	#003C30	Spirochaetes
219	#003C30	Spirochaetes
220	#003C30	Spirochaetes
221	#00493E	Actinobacteria
222	#00493E	Actinobacteria
223	#00493E	Actinobacteria
224	#00493E	Actinobacteria
225	#00493E	Actinobacteria
226	#00493E	Actinobacteria
227	#00493E	Actinobacteria
228	#00493E	Actinobacteria
229	#00493E	Actinobacteria
230	#00493E	Actinobacteria
231	#00493E	Actinobacteria
232	#00493E	Actinobacteria
233	#00493E	Actinobacteria
234	#00493E	Actinobacteria
235	#00493E	Actinobacteria
236	#00493E	Actinobacteria
237	#00493E	Actinobacteria
238	#00493E	Actinobacteria
239	#00493E	Actinobacteria
240	#00493E	Actinobacteria
241	#00493E	Actinobacteria
242	#00493E	Actinobacteria
243	#00493E	Actinobacteria
244	#00493E	Actinobacteria
245	#00493E	Actinobacteria
246	#00493E	Actinobacteria
247	#00493E	Actinobacteria
248	#00493E	Actinobacteria
249	#00493E	Actinobacteria
250	#00493E	Actinobacteria
251	#00493E	Actinobacteria
252	#00493E	Actinobacteria
253	#00493E	Actinobacteria
254	#00493E	Actinobacteria
255	#00493E	Actinobacteria
256	#00493E	Actinobacteria
257	#00493E	Actinobacteria
258	#00493E	Actinobacteria
259	#00493E	Actinobacteria
260	#00493E	Actinobacteria
261	#00493E	Actinobacteria
262	#00493E	Actinobacteria
263	#00493E	Actinobacteria
264	#00493E	Actinobacteria
265	#00493E	Actinobacteria
266	#00493E	Actinobacteria
267	#00493E	Actinobacteria
268	#00493E	Actinobacteria
269	#00493E	Actinobacteria
270	#00493E	Actinobacteria
271	#00493E	Actinobacteria
272	#00493E	Actinobacteria
273	#00493E	Actinobacteria
274	#00493E	Actinobacteria
275	#00493E	Actinobacteria
276	#00493E	Actinobacteria
277	#00493E	Actinobacteria
278	#00493E	Actinobacteria
279	#00493E	Actinobacteria
280	#00493E	Actinobacteria
281	#00493E	Actinobacteria
282	#00493E	Actinobacteria
283	#00493E	Actinobacteria
284	#00493E	Actinobacteria
285	#00493E	Actinobacteria
286	#00493E	Actinobacteria
287	#00493E	Actinobacteria
288	#00493E	Actinobacteria
289	#00493E	Actinobacteria
290	#00493E	Actinobacteria
291	#00493E	Actinobacteria
292	#00493E	Actinobacteria
293	#00493E	Actinobacteria
294	#00493E	Actinobacteria
295	#00493E	Actinobacteria
296	#00493E	Actinobacteria
297	#00493E	Actinobacteria
298	#00493E	Actinobacteria
299	#00493E	Actinobacteria
300	#00493E	Actinobacteria
301	#00493E	Actinobacteria
302	#00493E	Actinobacteria
303	#00493E	Actinobacteria
304	#00493E	Actinobacteria
305	#00493E	Actinobacteria
306	#00493E	Actinobacteria
307	#00493E	Actinobacteria
308	#00493E	Actinobacteria
309	#00493E	Actinobacteria
310	#00493E	Actinobacteria
311	#00493E	Actinobacteria
312	#00493E	Actinobacteria
313	#00493E	Actinobacteria
314	#00493E	Actinobacteria
315	#00493E	Actinobacteria
316	#00493E	Actinobacteria
317	#00493E	Actinobacteria
318	#00493E	Actinobacteria
319	#00493E	Actinobacteria
320	#00493E	Actinobacteria
321	#00493E	Actinobacteria
322	#00493E	Actinobacteria
323	#00493E	Actinobacteria
324	#00493E	Actinobacteria
325	#00493E	Actinobacteria
326	#00493E	Actinobacteria
327	#00493E	Actinobacteria
328	#00493E	Actinobacteria
329	#00493E	Actinobacteria
330	#00493E	Actinobacteria
331	#00493E	Actinobacteria
332	#00493E	Actinobacteria
333	#00493E	Actinobacteria
334	#00493E	Actinobacteria
335	#00493E	Actinobacteria
336	#00493E	Actinobacteria
337	#00493E	Actinobacteria
338	#00493E	Actinobacteria
339	#00493E	Actinobacteria
340	#00493E	Actinobacteria
341	#00493E	Actinobacteria
342	#00493E	Actinobacteria
343	#00493E	Actinobacteria
344	#00493E	Actinobacteria
345	#00493E	Actinobacteria
346	#00493E	Actinobacteria
347	#00493E	Actinobacteria
348	#00493E	Actinobacteria
349	#00493E	Actinobacteria
350	#00493E	Actinobacteria
351	#00493E	Actinobacteria
352	#00493E	Actinobacteria
353	#00493E	Actinobacteria
354	#00493E	Actinobacteria
355	#00493E	Actinobacteria
356	#00493E	Actinobacteria
357	#00493E	Actinobacteria
358	#00493E	Actinobacteria
359	#00493E	Actinobacteria
360	#00493E	Actinobacteria
361	#00493E	Actinobacteria
362	#00493E	Actinobacteria
363	#00493E	Actinobacteria
364	#00493E	Actinobacteria
365	#00493E	Actinobacteria
366	#00493E	Actinobacteria
367	#00493E	Actinobacteria
368	#00493E	Actinobacteria
369	#00493E	Actinobacteria
370	#00493E	Actinobacteria
371	#00493E	Actinobacteria
372	#00493E	Actinobacteria
373	#00493E	Actinobacteria
374	#00493E	Actinobacteria
375	#00493E	Actinobacteria
376	#00493E	Actinobacteria
377	#00493E	Actinobacteria
378	#00493E	Actinobacteria
379	#00493E	Actinobacteria
380	#00493E	Actinobacteria
381	#00493E	Actinobacteria
382	#00493E	Actinobacteria
383	#00493E	Actinobacteria
384	#00493E	Actinobacteria
385	#00493E	Actinobacteria
386	#00493E	Actinobacteria
387	#00493E	Actinobacteria
388	#00493E	Actinobacteria
389	#00493E	Actinobacteria
390	#00493E	Actinobacteria
391	#00493E	Actinobacteria
392	#00493E	Actinobacteria
393	#00493E	Actinobacteria
394	#00493E	Actinobacteria
395	#00493E	Actinobacteria
396	#00493E	Actinobacteria
397	#00493E	Actinobacteria
398	#00493E	Actinobacteria
399	#00493E	Actinobacteria
400	#00493E	Actinobacteria
401	#00493E	Actinobacteria
402	#00493E	Actinobacteria
403	#00493E	Actinobacteria
404	#00493E	Actinobacteria
405	#00493E	Actinobacteria
406	#00493E	Actinobacteria
407	#00493E	Actinobacteria
408	#00493E	Actinobacteria
409	#00493E	Actinobacteria
410	#00493E	Actinobacteria
411	#00493E	Actinobacteria
412	#00493E	Actinobacteria
413	#00493E	Actinobacteria
414	#00493E	Actinobacteria
415	#00493E	Actinobacteria
416	#00493E	Actinobacteria
417	#00493E	Actinobacteria
418	#00493E	Actinobacteria
419	#00493E	Actinobacteria
420	#00493E	Actinobacteria
421	#00493E	Actinobacteria
422	#00493E	Actinobacteria
423	#00493E	Actinobacteria
424	#00493E	Actinobacteria
425	#00493E	Actinobacteria
426	#00574D	Armatimonadetes
427	#00574D	Armatimonadetes
428	#00574D	Armatimonadetes
429	#00645C	Chloroflexi
430	#00645C	Chloroflexi
431	#00645C	Chloroflexi
432	#00645C	Chloroflexi
433	#00645C	Chloroflexi
434	#00645C	Chloroflexi
435	#10746C	Firmicutes
436	#10746C	Firmicutes
437	#10746C	Firmicutes
438	#10746C	Firmicutes
439	#10746C	Firmicutes
440	#10746C	Firmicutes
441	#10746C	Firmicutes
442	#10746C	Firmicutes
443	#10746C	Firmicutes
444	#10746C	Firmicutes
445	#10746C	Firmicutes
446	#10746C	Firmicutes
