TREE_COLORS
SEPARATOR TAB
DATA
1	range	#5D3505	Euryarchaeota
2	range	#6F3F07	Crenarchaeota
3	range	#6F3F07	Crenarchaeota
4	range	#6F3F07	Crenarchaeota
5	range	#814A09	Acidobacteria
6	range	#814A09	Acidobacteria
7	range	#814A09	Acidobacteria
8	range	#814A09	Acidobacteria
9	range	#814A09	Acidobacteria
10	range	#814A09	Acidobacteria
11	range	#814A09	Acidobacteria
12	range	#814A09	Acidobacteria
13	range	#814A09	Acidobacteria
14	range	#814A09	Acidobacteria
15	range	#814A09	Acidobacteria
16	range	#814A09	Acidobacteria
17	range	#814A09	Acidobacteria
18	range	#814A09	Acidobacteria
19	range	#814A09	Acidobacteria
20	range	#814A09	Acidobacteria
21	range	#92570E	Calditrichaeota
22	range	#92570E	Calditrichaeota
23	range	#A36619	Dictyoglomi
24	range	#B37625	Bacteroidetes
25	range	#B37625	Bacteroidetes
26	range	#B37625	Bacteroidetes
27	range	#B37625	Bacteroidetes
28	range	#B37625	Bacteroidetes
29	range	#B37625	Bacteroidetes
30	range	#B37625	Bacteroidetes
31	range	#B37625	Bacteroidetes
32	range	#B37625	Bacteroidetes
33	range	#B37625	Bacteroidetes
34	range	#B37625	Bacteroidetes
35	range	#B37625	Bacteroidetes
36	range	#B37625	Bacteroidetes
37	range	#B37625	Bacteroidetes
38	range	#B37625	Bacteroidetes
39	range	#B37625	Bacteroidetes
40	range	#B37625	Bacteroidetes
41	range	#B37625	Bacteroidetes
42	range	#B37625	Bacteroidetes
43	range	#B37625	Bacteroidetes
44	range	#B37625	Bacteroidetes
45	range	#B37625	Bacteroidetes
46	range	#B37625	Bacteroidetes
47	range	#B37625	Bacteroidetes
48	range	#B37625	Bacteroidetes
49	range	#B37625	Bacteroidetes
50	range	#B37625	Bacteroidetes
51	range	#B37625	Bacteroidetes
52	range	#B37625	Bacteroidetes
53	range	#B37625	Bacteroidetes
54	range	#B37625	Bacteroidetes
55	range	#B37625	Bacteroidetes
56	range	#B37625	Bacteroidetes
57	range	#B37625	Bacteroidetes
58	range	#B37625	Bacteroidetes
59	range	#B37625	Bacteroidetes
60	range	#B37625	Bacteroidetes
61	range	#B37625	Bacteroidetes
62	range	#B37625	Bacteroidetes
63	range	#B37625	Bacteroidetes
64	range	#B37625	Bacteroidetes
65	range	#B37625	Bacteroidetes
66	range	#B37625	Bacteroidetes
67	range	#B37625	Bacteroidetes
68	range	#B37625	Bacteroidetes
69	range	#B37625	Bacteroidetes
70	range	#B37625	Bacteroidetes
71	range	#B37625	Bacteroidetes
72	range	#B37625	Bacteroidetes
73	range	#B37625	Bacteroidetes
74	range	#B37625	Bacteroidetes
75	range	#B37625	Bacteroidetes
76	range	#B37625	Bacteroidetes
77	range	#B37625	Bacteroidetes
78	range	#B37625	Bacteroidetes
79	range	#B37625	Bacteroidetes
80	range	#B37625	Bacteroidetes
81	range	#B37625	Bacteroidetes
82	range	#B37625	Bacteroidetes
83	range	#B37625	Bacteroidetes
84	range	#B37625	Bacteroidetes
85	range	#B37625	Bacteroidetes
86	range	#B37625	Bacteroidetes
87	range	#B37625	Bacteroidetes
88	range	#B37625	Bacteroidetes
89	range	#B37625	Bacteroidetes
90	range	#B37625	Bacteroidetes
91	range	#B37625	Bacteroidetes
92	range	#B37625	Bacteroidetes
93	range	#B37625	Bacteroidetes
94	range	#B37625	Bacteroidetes
95	range	#C28734	Gemmatimonadetes
96	range	#CC9C4E	Fusobacteria
97	range	#CC9C4E	Fusobacteria
98	range	#CC9C4E	Fusobacteria
99	range	#D6B168	Lentisphaerae
100	range	#D6B168	Lentisphaerae
101	range	#D6B168	Lentisphaerae
102	range	#D6B168	Lentisphaerae
103	range	#D6B168	Lentisphaerae
104	range	#D6B168	Lentisphaerae
105	range	#E0C481	Planctomycetes
106	range	#E0C481	Planctomycetes
107	range	#E0C481	Planctomycetes
108	range	#E0C481	Planctomycetes
109	range	#E0C481	Planctomycetes
110	range	#E7D098	Verrucomicrobia
111	range	#E7D098	Verrucomicrobia
112	range	#E7D098	Verrucomicrobia
113	range	#E7D098	Verrucomicrobia
114	range	#E7D098	Verrucomicrobia
115	range	#E7D098	Verrucomicrobia
116	range	#E7D098	Verrucomicrobia
117	range	#E7D098	Verrucomicrobia
118	range	#E7D098	Verrucomicrobia
119	range	#E7D098	Verrucomicrobia
120	range	#E7D098	Verrucomicrobia
121	range	#E7D098	Verrucomicrobia
122	range	#E7D098	Verrucomicrobia
123	range	#E7D098	Verrucomicrobia
124	range	#EFDCAE	Proteobacteria
125	range	#EFDCAE	Proteobacteria
126	range	#EFDCAE	Proteobacteria
127	range	#EFDCAE	Proteobacteria
128	range	#EFDCAE	Proteobacteria
129	range	#EFDCAE	Proteobacteria
130	range	#EFDCAE	Proteobacteria
131	range	#EFDCAE	Proteobacteria
132	range	#EFDCAE	Proteobacteria
133	range	#EFDCAE	Proteobacteria
134	range	#EFDCAE	Proteobacteria
