TREE_COLORS
SEPARATOR TAB
DATA
1	range	#5D3505	Archaeoglobi
2	range	#6F3F07	Halobacteria
3	range	#6F3F07	Halobacteria
4	range	#814A09	Thermoprotei
5	range	#814A09	Thermoprotei
6	range	#814A09	Thermoprotei
7	range	#814A09	Thermoprotei
9	range	#B37625	unclassified Acidobacteria
10	range	#CC9C4E	Chrysiogenetes
11	range	#D6B168	Deferribacteres
12	range	#D6B168	Deferribacteres
13	range	#E7D098	Bacteroidia
14	range	#D7EDEA	unclassified Chlorobi
15	range	#D7EDEA	unclassified Chlorobi
16	range	#54ADA3	unclassified Candidatus Omnitrophica
17	range	#005046	Acidithiobacillia
18	range	#005046	Acidithiobacillia
19	range	#004237	Alphaproteobacteria
20	range	#004237	Alphaproteobacteria
21	range	#004237	Alphaproteobacteria
22	range	#004237	Alphaproteobacteria
23	range	#004237	Alphaproteobacteria
24	range	#004237	Alphaproteobacteria
25	range	#004237	Alphaproteobacteria
26	range	#004237	Alphaproteobacteria
27	range	#004237	Alphaproteobacteria
28	range	#004237	Alphaproteobacteria
29	range	#004237	Alphaproteobacteria
30	range	#004237	Alphaproteobacteria
31	range	#004237	Alphaproteobacteria
32	range	#004237	Alphaproteobacteria
33	range	#004237	Alphaproteobacteria
34	range	#004237	Alphaproteobacteria
35	range	#004237	Alphaproteobacteria
36	range	#004237	Alphaproteobacteria
37	range	#004237	Alphaproteobacteria
38	range	#004237	Alphaproteobacteria
39	range	#004237	Alphaproteobacteria
40	range	#004237	Alphaproteobacteria
41	range	#004237	Alphaproteobacteria
42	range	#004237	Alphaproteobacteria
43	range	#004237	Alphaproteobacteria
44	range	#004237	Alphaproteobacteria
45	range	#004237	Alphaproteobacteria
46	range	#003C30	Betaproteobacteria
47	range	#003C30	Betaproteobacteria
48	range	#003C30	Betaproteobacteria
49	range	#003C30	Betaproteobacteria
50	range	#003C30	Betaproteobacteria
51	range	#003C30	Betaproteobacteria
52	range	#003C30	Betaproteobacteria
53	range	#003C30	Betaproteobacteria
54	range	#003C30	Betaproteobacteria
55	range	#003C30	Betaproteobacteria
56	range	#003C30	Betaproteobacteria
57	range	#003C30	Betaproteobacteria
58	range	#003C30	Betaproteobacteria
59	range	#003C30	Betaproteobacteria
60	range	#003C30	Betaproteobacteria
61	range	#003C30	Betaproteobacteria
62	range	#003C30	Betaproteobacteria
63	range	#003C30	Betaproteobacteria
64	range	#003C30	Betaproteobacteria
65	range	#003C30	Betaproteobacteria
66	range	#003C30	Betaproteobacteria
67	range	#003C30	Betaproteobacteria
68	range	#003C30	Betaproteobacteria
69	range	#003C30	Betaproteobacteria
70	range	#003C30	Betaproteobacteria
71	range	#003C30	Betaproteobacteria
72	range	#003C30	Betaproteobacteria
73	range	#003C30	Betaproteobacteria
74	range	#003C30	Betaproteobacteria
75	range	#003C30	Betaproteobacteria
76	range	#00493E	Gammaproteobacteria
77	range	#00493E	Gammaproteobacteria
