TREE_COLORS
SEPARATOR TAB
DATA
1	range	#B37625	unclassified Acidobacteria
2	range	#C28734	Aquificae
3	range	#C28734	Aquificae
4	range	#F5E8C4	Cytophagia
5	range	#F5ECD4	Flavobacteriia
6	range	#F5ECD4	Flavobacteriia
7	range	#F5ECD4	Flavobacteriia
8	range	#F5ECD4	Flavobacteriia
9	range	#F5ECD4	Flavobacteriia
10	range	#F5ECD4	Flavobacteriia
11	range	#F5ECD4	Flavobacteriia
12	range	#F5ECD4	Flavobacteriia
13	range	#F5ECD4	Flavobacteriia
14	range	#F5ECD4	Flavobacteriia
15	range	#F5ECD4	Flavobacteriia
16	range	#E6F1EF	unclassified Bacteroidetes
17	range	#E6F1EF	unclassified Bacteroidetes
18	range	#E6F1EF	unclassified Bacteroidetes
19	range	#187C74	Methylacidiphilae
20	range	#187C74	Methylacidiphilae
21	range	#004237	Alphaproteobacteria
22	range	#004237	Alphaproteobacteria
23	range	#004237	Alphaproteobacteria
24	range	#004237	Alphaproteobacteria
25	range	#004237	Alphaproteobacteria
26	range	#004237	Alphaproteobacteria
27	range	#004237	Alphaproteobacteria
28	range	#004237	Alphaproteobacteria
29	range	#004237	Alphaproteobacteria
30	range	#004237	Alphaproteobacteria
31	range	#004237	Alphaproteobacteria
32	range	#004237	Alphaproteobacteria
33	range	#004237	Alphaproteobacteria
34	range	#004237	Alphaproteobacteria
35	range	#004237	Alphaproteobacteria
36	range	#004237	Alphaproteobacteria
37	range	#004237	Alphaproteobacteria
38	range	#004237	Alphaproteobacteria
39	range	#004237	Alphaproteobacteria
40	range	#004237	Alphaproteobacteria
41	range	#004237	Alphaproteobacteria
42	range	#004237	Alphaproteobacteria
43	range	#004237	Alphaproteobacteria
44	range	#004237	Alphaproteobacteria
45	range	#004237	Alphaproteobacteria
46	range	#004237	Alphaproteobacteria
47	range	#004237	Alphaproteobacteria
48	range	#004237	Alphaproteobacteria
49	range	#004237	Alphaproteobacteria
50	range	#004237	Alphaproteobacteria
51	range	#004237	Alphaproteobacteria
52	range	#004237	Alphaproteobacteria
53	range	#004237	Alphaproteobacteria
54	range	#004237	Alphaproteobacteria
55	range	#004237	Alphaproteobacteria
56	range	#004237	Alphaproteobacteria
57	range	#004237	Alphaproteobacteria
58	range	#004237	Alphaproteobacteria
59	range	#004237	Alphaproteobacteria
60	range	#004237	Alphaproteobacteria
61	range	#004237	Alphaproteobacteria
62	range	#004237	Alphaproteobacteria
63	range	#004237	Alphaproteobacteria
64	range	#004237	Alphaproteobacteria
65	range	#004237	Alphaproteobacteria
66	range	#004237	Alphaproteobacteria
67	range	#004237	Alphaproteobacteria
68	range	#004237	Alphaproteobacteria
69	range	#004237	Alphaproteobacteria
