name	code	molecule	sub_model	cluster_identity	polynomial_params	lowest_confident_rank	date
hzs	A0100	prot	PROTGAMMAJTTDCMUT	0.99		Species	27_Apr_2018
nrfA	D0401	prot	PROTGAMMAWAG	95		Genera	16_Mar_2018
hzao	A0012	prot	PROTGAMMAWAG	95		Kingdoms	21_May_2018
nosZ	D0601	prot	PROTGAMMAWAG	95		Species	28_Jan_2017
mcrA	M0701	prot	PROTGAMMALG	97		Genera	19_Jul_2018
narG	D0101	prot	PROTGAMMALG	80	-4.6399673125608834,5.8310090541158175	Genera	23_Jan_2018
napA	D0201	prot	PROTGAMMALG	80	-8.3686594787746014,6.842788420767393	Genera	15_Jan_2018
nirA	A0001	prot	PROTGAMMALG	90		Genera	05_Mar_2018
nirK	D0301	prot	PROTGAMMALG	90	-7.0203201796894552,6.4723125359214695	Species	15_Jan_2018
nirS	D0302	prot	PROTGAMMALG	97	-4.6901341105502343,6.0151573724467973	Species	17_Jan_2018
norB	D0501	prot	PROTGAMMALG	80	-5.697360039898121,6.4106170159068725	Species	19_Jan_2018
norC	D0502	prot	PROTGAMMALG	90	-3.4692981705258799,6.0443504904634704	Species	19_Jan_2018
nifD	N0401	prot	PROTGAMMALG	85	-6.9676601767537747,6.3954157334089663	Species	17_Jan_2018
nifH	N0402	prot	PROTGAMMALG	94		Species	29_Jan_2018
McrA	M0701	prot	PROTGAMMALG	0.97	-6.085430474380224,6.431197102674965	Classes	01_Aug_2018
McrB	M0702	prot	PROTGAMMALG	0.97	-5.6904955994886395,6.6128688874959778	Genera	24_Jul_2018
McrG	M0705	prot	PROTGAMMALG	0.97	-5.9345668606370072,6.8202681718682419	Species	09_Jan_2018
MtrA	M0601	prot	PROTGAMMALG	95		Species	08_Feb_2018
MtrC	M0603	prot	PROTGAMMALG	99		Species	08_Feb_2018
MtrH	M0607	prot	PROTGAMMALG	97		Species	08_Feb_2018
GH36	C0036	prot	PROTGAMMALG	70		Phyla	26_Apr_2018
GH31	C0031	prot	PROTGAMMALG	70		Orders	12_May_2018
p_amoA	N0102	prot	PROTGAMMALG	97	-7.7826599383267441,6.8092157500630481	Species	09_Apr_2018
CO_dh	C1000	prot	PROTGAMMALG	97		Orders	04_May_2018
RBsCO	C2000	prot	PROTGAMMALG	80		Phyla	05_May_2018
OGFOxy	C3000	prot	PROTGAMMALG	90		Phyla	08_May_2018
CitSyn	C4000	prot	PROTGAMMALG	65		Classes	11_May_2018
dsrA	S0001	prot	PROTGAMMALG	80		Families	22_May_2018
dsrB	S0002	prot	PROTGAMMALG	85		Families	02_May_2018
GH109	C0109	prot	PROTGAMMALG	90		Orders	31_May_2018
GH115	C0115	prot	PROTGAMMALG	90		Genera	01_Jun_2018
